'1fps_image_0063.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0835344, -0.996138, 0.0270429, -65.2102], [-0.788743, 0.0495085, -0.612726, 9.59347], [0.609021, -0.0725136, -0.789833, 70.6479], [0.0, 0.0, 0.0, 1.0]] , [2512.6399999999999, 2512.6399999999999, 2048.0, 1080.0]
'1fps_image_0064.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0933797, -0.995355, 0.0234288, -65.3224], [-0.78774, 0.0594703, -0.61313, 10.8528], [0.608889, -0.0757097, -0.789635, 70.8566], [0.0, 0.0, 0.0, 1.0]] , [2512.6100000000001, 2512.6100000000001, 2048.0, 1080.0]
'1fps_image_0065.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0777099, -0.996701, 0.0234128, -64.6414], [-0.788649, 0.0470882, -0.613038, 9.93252], [0.609913, -0.0661036, -0.789706, 71.4668], [0.0, 0.0, 0.0, 1.0]] , [2512.5799999999999, 2512.5799999999999, 2048.0, 1080.0]
'1fps_image_0066.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0920248, -0.995474, 0.0237263, -65.1695], [-0.787501, 0.0581753, -0.613562, 10.4694], [0.609405, -0.0751474, -0.78929, 70.6922], [0.0, 0.0, 0.0, 1.0]] , [2512.9699999999998, 2512.9699999999998, 2048.0, 1080.0]
'1fps_image_0067.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0778574, -0.99664, 0.0254383, -64.847], [-0.787656, 0.0458494, -0.614407, 9.40925], [0.611176, -0.0678727, -0.788579, 71.0584], [0.0, 0.0, 0.0, 1.0]] , [2512.54, 2512.54, 2048.0, 1080.0]
'1fps_image_0068.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0757306, -0.996693, 0.0294751, -64.8587], [-0.788491, 0.0417642, -0.613627, 8.9599], [0.610367, -0.0697112, -0.789046, 70.8256], [0.0, 0.0, 0.0, 1.0]] , [2513.0500000000002, 2513.0500000000002, 2048.0, 1080.0]
'1fps_image_0069.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.10512, -0.994027, 0.0293388, -66.0785], [-0.788606, 0.0653505, -0.611416, 10.0779], [0.605846, -0.0874088, -0.790765, 69.8304], [0.0, 0.0, 0.0, 1.0]] , [2513.2600000000002, 2513.2600000000002, 2048.0, 1080.0]
'1fps_image_0070.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0547479, -0.998143, 0.026694, -63.8283], [-0.787003, 0.0266829, -0.616372, 8.40496], [0.614515, -0.0547533, -0.787003, 72.0024], [0.0, 0.0, 0.0, 1.0]] , [2512.48, 2512.48, 2048.0, 1080.0]
'1fps_image_0071.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0811239, -0.996592, 0.0149594, -64.1992], [-0.786895, 0.054828, -0.614647, 10.2762], [0.611732, -0.061634, -0.78866, 71.9832], [0.0, 0.0, 0.0, 1.0]] , [2513.3099999999999, 2513.3099999999999, 2048.0, 1080.0]
'1fps_image_0072.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.120601, -0.992528, 0.0185231, -65.8061], [-0.785444, 0.0839943, -0.613206, 12.4832], [0.607069, -0.088502, -0.789705, 70.4965], [0.0, 0.0, 0.0, 1.0]] , [2512.9000000000001, 2512.9000000000001, 2048.0, 1080.0]
'1fps_image_0073.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.109139, -0.993927, 0.0141003, -65.1895], [-0.783234, 0.0772521, -0.61691, 12.8324], [0.612074, -0.0783729, -0.786908, 71.5523], [0.0, 0.0, 0.0, 1.0]] , [2512.6399999999999, 2512.6399999999999, 2048.0, 1080.0]
'1fps_image_0074.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0949004, -0.995411, 0.0122725, -64.5216], [-0.783363, 0.0670656, -0.617936, 12.4261], [0.614278, -0.0682562, -0.786132, 72.378], [0.0, 0.0, 0.0, 1.0]] , [2512.79, 2512.79, 2048.0, 1080.0]
'1fps_image_0075.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.103993, -0.994518, 0.0109452, -64.7422], [-0.779659, 0.0746834, -0.621735, 13.5651], [0.617509, -0.0731895, -0.783152, 72.2424], [0.0, 0.0, 0.0, 1.0]] , [2512.8400000000001, 2512.8400000000001, 2048.0, 1080.0]
'1fps_image_0076.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.11795, -0.992862, 0.017659, -65.8327], [-0.783633, 0.0821416, -0.61577, 13.2464], [0.609924, -0.086468, -0.787728, 71.6508], [0.0, 0.0, 0.0, 1.0]] , [2512.7199999999998, 2512.7199999999998, 2048.0, 1080.0]
'1fps_image_0077.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.128667, -0.991507, 0.0189196, -66.2949], [-0.784585, 0.0901098, -0.613438, 13.3655], [0.606524, -0.0937736, -0.789516, 71.2922], [0.0, 0.0, 0.0, 1.0]] , [2513.21, 2513.21, 2048.0, 1080.0]
'1fps_image_0078.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.136101, -0.990478, 0.0207484, -66.8858], [-0.789111, 0.0957215, -0.606746, 13.5102], [0.598982, -0.0989516, -0.794625, 70.655], [0.0, 0.0, 0.0, 1.0]] , [2512.6399999999999, 2512.6399999999999, 2048.0, 1080.0]
'1fps_image_0079.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.132549, -0.990867, 0.0247742, -66.4104], [-0.788235, 0.090223, -0.608724, 12.4359], [0.600929, -0.100214, -0.792995, 70.247], [0.0, 0.0, 0.0, 1.0]] , [2513.2800000000002, 2513.2800000000002, 2048.0, 1080.0]
'1fps_image_0080.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0907951, -0.995767, 0.0143287, -64.7414], [-0.78456, 0.0626604, -0.616879, 11.4455], [0.613369, -0.0672513, -0.786928, 72.3289], [0.0, 0.0, 0.0, 1.0]] , [2513.3499999999999, 2513.3499999999999, 2048.0, 1080.0]
'1fps_image_0081.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.094955, -0.995365, 0.0152378, -64.8984], [-0.785296, 0.0654903, -0.615647, 11.6943], [0.611795, -0.0704249, -0.787875, 72.3064], [0.0, 0.0, 0.0, 1.0]] , [2512.6399999999999, 2512.6399999999999, 2048.0, 1080.0]
'1fps_image_0082.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0932928, -0.995548, 0.0134403, -64.765], [-0.776636, 0.0643184, -0.626658, 12.5799], [0.623003, -0.0689009, -0.779179, 72.6192], [0.0, 0.0, 0.0, 1.0]] , [2513.3699999999999, 2513.3699999999999, 2048.0, 1080.0]
'1fps_image_0083.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0435089, -0.998992, 0.0110395, -62.9625], [-0.801391, 0.0283004, -0.597471, 9.04002], [0.596556, -0.0348422, -0.801815, 73.9449], [0.0, 0.0, 0.0, 1.0]] , [2513.3099999999999, 2513.3099999999999, 2048.0, 1080.0]
'1fps_image_0084.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0266204, -0.999633, 0.00496345, -62.6559], [-0.803679, 0.0184489, -0.594777, 11.0916], [0.594468, -0.0198222, -0.803875, 73.4696], [0.0, 0.0, 0.0, 1.0]] , [2513.0999999999999, 2513.0999999999999, 2048.0, 1080.0]
